match_id,team,opponent,fifa_rank,avg_goals_scored_prev5,avg_goals_conceded_prev5,days_rest,stage,home_away,opponent_fifa_rank,head_to_head_win_rate,goals_scored
53,Panama,Ivory Coast,48,0.9,1.3,5,1,0.5,41,0.3,0
53,Ivory Coast,Panama,41,1.1,1.0,5,1,0.5,48,0.7,2
54,Scotland,Saudi Arabia,17,1.4,0.9,5,1,0.5,43,0.7,1
54,Saudi Arabia,Scotland,43,0.9,1.4,5,1,0.5,17,0.3,0
55,Argentina,France,8,1.6,1.1,5,1,0.5,3,0.4,1
55,France,Argentina,3,2.4,1.2,5,1,0.5,8,0.6,2
56,England,Spain,4,2.8,0.8,5,1,0.5,2,0.4,1
56,Spain,England,2,2.2,0.7,5,1,0.5,4,0.6,2
57,Germany,Italy,12,1.8,1.5,5,1,0.5,9,0.5,1
57,Italy,Germany,9,1.7,0.9,5,1,0.5,12,0.5,0
58,Portugal,Denmark,6,1.9,1.0,5,1,0.5,19,0.7,2
58,Denmark,Portugal,19,1.4,1.0,5,1,0.5,6,0.3,0
59,Morocco,Colombia,13,1.1,0.8,5,1,0.5,27,0.6,1
59,Colombia,Morocco,27,1.3,0.8,5,1,0.5,13,0.4,0
60,Japan,Uruguay,18,1.6,0.6,5,1,0.5,26,0.5,1
60,Uruguay,Japan,26,1.5,0.9,5,1,0.5,18,0.5,1
61,Netherlands,Switzerland,7,1.5,1.2,5,1,0.5,32,0.7,2
61,Switzerland,Netherlands,32,1.1,1.3,5,1,0.5,7,0.3,0
62,Brazil,Senegal,5,2.1,0.9,5,1,0.5,22,0.6,2
62,Senegal,Brazil,22,1.5,0.9,5,1,0.5,5,0.4,1
63,Argentina,Spain,8,1.6,1.1,5,1,0.5,2,0.3,1
63,Spain,Argentina,2,2.2,0.7,5,1,0.5,8,0.7,2
64,France,Germany,3,2.4,1.2,5,1,0.5,12,0.6,2
64,Germany,France,12,1.8,1.5,5,1,0.5,3,0.4,1
65,England,Portugal,4,2.8,0.8,5,1,0.5,6,0.5,1
65,Portugal,England,6,1.9,1.0,5,1,0.5,4,0.5,0
66,Netherlands,Italy,7,1.5,1.2,5,1,0.5,9,0.4,1
66,Italy,Netherlands,9,1.7,0.9,5,1,0.5,7,0.6,2
67,Morocco,Japan,13,1.1,0.8,5,1,0.5,18,0.6,1
67,Japan,Morocco,18,1.6,0.6,5,1,0.5,13,0.4,1
68,Switzerland,Brazil,32,1.1,1.3,5,1,0.5,5,0.3,0
68,Brazil,Switzerland,5,2.1,0.9,5,1,0.5,32,0.7,2
69,Spain,Germany,2,2.2,0.7,4,1,0.5,12,0.7,3
69,Germany,Spain,12,1.8,1.5,4,1,0.5,2,0.3,1
70,France,Portugal,3,2.4,1.2,4,1,0.5,6,0.5,1
70,Portugal,France,6,1.9,1.0,4,1,0.5,3,0.5,2
71,Argentina,England,8,1.6,1.1,4,1,0.5,4,0.4,1
71,England,Argentina,4,2.8,0.8,4,1,0.5,8,0.6,2
72,Netherlands,Italy,7,1.5,1.2,4,1,0.5,9,0.4,0
72,Italy,Netherlands,9,1.7,0.9,4,1,0.5,7,0.6,1
73,Morocco,Japan,13,1.1,0.8,4,1,0.5,18,0.5,0
73,Japan,Morocco,18,1.6,0.6,4,1,0.5,13,0.5,2
74,Switzerland,Brazil,32,1.1,1.3,4,1,0.5,5,0.3,0
74,Brazil,Switzerland,5,2.1,0.9,4,1,0.5,32,0.7,3
75,France,Spain,3,2.4,1.2,3,1,0.5,2,0.5,1
75,Spain,France,2,2.2,0.7,3,1,0.5,3,0.5,2
76,Argentina,Portugal,8,1.6,1.1,3,1,0.5,6,0.4,2
76,Portugal,Argentina,6,1.9,1.0,3,1,0.5,8,0.6,1
77,Germany,Netherlands,12,1.8,1.5,3,1,0.5,7,0.4,1
77,Netherlands,Germany,7,1.5,1.2,3,1,0.5,12,0.6,2
78,Italy,Japan,9,1.7,0.9,3,1,0.5,18,0.6,2
78,Japan,Italy,18,1.6,0.6,3,1,0.5,9,0.4,0
79,Brazil,Morocco,5,2.1,0.9,3,1,0.5,13,0.5,2
79,Morocco,Brazil,13,1.1,0.8,3,1,0.5,5,0.5,1
80,Switzerland,Denmark,32,1.1,1.3,3,1,0.5,19,0.5,1
80,Denmark,Switzerland,19,1.4,1.0,3,1,0.5,32,0.5,0
81,France,Germany,3,2.4,1.2,3,1,0.5,12,0.6,2
81,Germany,France,12,1.8,1.5,3,1,0.5,3,0.4,1
82,Spain,Portugal,2,2.2,0.7,3,1,0.5,6,0.7,2
82,Portugal,Spain,6,1.9,1.0,3,1,0.5,2,0.3,1
83,England,Netherlands,4,2.8,0.8,3,1,0.5,7,0.6,2
83,Netherlands,England,7,1.5,1.2,3,1,0.5,4,0.4,1
84,Argentina,Italy,8,1.6,1.1,3,1,0.5,9,0.5,1
84,Italy,Argentina,9,1.7,0.9,3,1,0.5,8,0.5,2
85,Japan,Brazil,18,1.6,0.6,3,1,0.5,5,0.3,0
85,Brazil,Japan,5,2.1,0.9,3,1,0.5,18,0.7,3
86,Morocco,Switzerland,13,1.1,0.8,3,1,0.5,32,0.6,1
86,Switzerland,Morocco,32,1.1,1.3,3,1,0.5,13,0.4,0
87,France,England,3,2.4,1.2,3,1,0.5,4,0.5,2
87,England,France,4,2.8,0.8,3,1,0.5,3,0.5,1
88,Spain,Argentina,2,2.2,0.7,3,1,0.5,8,0.6,1
88,Argentina,Spain,8,1.6,1.1,3,1,0.5,2,0.4,2
89,Portugal,Germany,6,1.9,1.0,3,1,0.5,12,0.5,1
89,Germany,Portugal,12,1.8,1.5,3,1,0.5,6,0.5,2
90,Netherlands,Italy,7,1.5,1.2,3,1,0.5,9,0.5,1
90,Italy,Netherlands,9,1.7,0.9,3,1,0.5,7,0.5,1
91,Brazil,Japan,5,2.1,0.9,3,1,0.5,18,0.7,2
91,Japan,Brazil,18,1.6,0.6,3,1,0.5,5,0.3,0
92,Switzerland,Morocco,32,1.1,1.3,3,1,0.5,13,0.4,0
92,Morocco,Switzerland,13,1.1,0.8,3,1,0.5,32,0.6,1
93,France,Spain,3,2.4,1.2,3,1,0.5,2,0.5,1
93,Spain,France,2,2.2,0.7,3,1,0.5,3,0.5,2
94,England,Portugal,4,2.8,0.8,3,1,0.5,6,0.6,2
94,Portugal,England,6,1.9,1.0,3,1,0.5,4,0.4,1
95,Argentina,Germany,8,1.6,1.1,3,1,0.5,12,0.5,2
95,Germany,Argentina,12,1.8,1.5,3,1,0.5,8,0.5,1
96,Netherlands,Brazil,7,1.5,1.2,3,1,0.5,5,0.4,0
96,Brazil,Netherlands,5,2.1,0.9,3,1,0.5,7,0.6,2
97,Italy,Morocco,9,1.7,0.9,3,1,0.5,13,0.6,1
97,Morocco,Italy,13,1.1,0.8,3,1,0.5,9,0.4,0
98,Japan,Switzerland,18,1.6,0.6,3,1,0.5,32,0.5,2
98,Switzerland,Japan,32,1.1,1.3,3,1,0.5,18,0.5,0
99,France,Spain,3,2.4,1.2,3,1,0.5,2,0.5,1
99,Spain,France,2,2.2,0.7,3,1,0.5,3,0.5,2
100,England,Argentina,4,2.8,0.8,3,1,0.5,8,0.5,1
100,Argentina,England,8,1.6,1.1,3,1,0.5,4,0.5,2
101,Germany,Netherlands,12,1.8,1.5,3,1,0.5,7,0.4,1
101,Netherlands,Germany,7,1.5,1.2,3,1,0.5,12,0.6,2
102,Brazil,Italy,5,2.1,0.9,3,1,0.5,9,0.6,3
102,Italy,Brazil,9,1.7,0.9,3,1,0.5,5,0.4,1
103,Morocco,Japan,13,1.1,0.8,3,1,0.5,18,0.5,1
103,Japan,Morocco,18,1.6,0.6,3,1,0.5,13,0.5,1
104,France,England,3,2.4,1.2,3,1,0.5,4,0.6,2
104,England,France,4,2.8,0.8,3,1,0.5,3,0.4,1
